S.no.,Public Group name,url_fb,19 April Status,Primary Group Category (Anti-Vaxx/General info on vaccines/Pro-Vaxx/Vaccination Finder/Mixed....Add new ones as you see fit),Secondary Group Category,Group Size (Add no. of members),Terms_start (Term that got you here),RA Name (Coder),startdate_tracking,Notes,April13_Status
132,VaxMe OC,https://www.facebook.com/groups/vaxmeoc/,Active,Vaccination Finder,,6.5,vaccine appointment,Julia,4/14/21,,
133,Helping Buffalo get vaccinated (COVID-19),https://www.facebook.com/groups/353907122679771/,Active,Vaccination Finder,,3.3,vaccine appointment,Julia,4/14/21,,
134,San Diego Covid-19 Vaccination sites,https://www.facebook.com/groups/745280646106350/,Active,Vaccination Finder,,640,vaccine appointment,Julia,4/14/21,,
135,Help Greater Boston Get Vaccinated (COVID-19),https://www.facebook.com/groups/hgbgv/,Active,Vaccination Finder,,353,vaccine appointment,Julia,4/14/21,,
136,COVID 19 Pittsburgh Community Support/Resources,https://www.facebook.com/groups/COVID19PITTSBURGHCOMMUNITY/,Active,General info on vaccines,,2.7,vaccine appointment,Julia,4/14/21,,
137,Vaccinate Our State: Helping Okies One Shot at a Time,https://www.facebook.com/groups/vaccinateok2021/,Active,Vaccination Finder,,9.9,vaccine appointment,Julia,4/14/21,,
138,COVID19 Dutchess County & Ulster County Resources,https://www.facebook.com/groups/1564860247030994/,Active,Vaccination Finder,,15.7,vaccine appointment,Julia,4/14/21,,
139,Covid 19 The Truth,https://www.facebook.com/groups/716060535648913/,Active,,,,,,,,
140,Covid 19 vaccine injury,https://www.facebook.com/groups/203872427933887/,Active,,,,,,,,
141,"Covid-19 Updates, Vaccine Movements, Politics,REAL NEWS & WORLDWIDE TRUTHS!",https://www.facebook.com/groups/1072031986515893/,Active,,,,,,,,
142,covid vaccine results real stories,https://www.facebook.com/groups/1245543942482954/,Active,,,,,,,,
143,HOME REMEDIES,https://www.facebook.com/groups/920307217981177/,Active,,,,,,,,
144,Vaccine Abolition Society,https://www.facebook.com/groups/421205074923116/,No result,,,,,,,,
145,The New World Order & Other Conspiracies,https://www.facebook.com/groups/900972539986965/,Active,,,,,,,,
146,Michigan Natural and Holistic Health Community,https://www.facebook.com/groups/1639697056320366/,Active,,,,,,,,
147,Healthcare Workers against Mandatory Flu Vaccine,https://www.facebook.com/groups/620181882025534/,Active,,,,,,,,
148,CoViD 19 Vaccine REFUSERS,https://www.facebook.com/groups/629672177619107/,Became private,,,,,,,,
149,ZELENKO HYDROXY-CHLOROQUINE PROTOCOL,https://www.facebook.com/groups/317615399620473/,Active,,,,,,,,
150,Texans for Homeschool Freedom,https://www.facebook.com/groups/1848649718688814/,Active,,,,,,,,
151,No Mandatory Vaccines - Worldwide,https://www.facebook.com/groups/2369524333340276/,Active,,,,,,,,
152,"#Corona Is a scam ,stop mandatory vaccination and save our human rights",https://www.facebook.com/groups/560550101166278/,Active,,,,,,,,
153,Vaccine Accountability and Transparency,https://www.facebook.com/groups/230539848201765/,Active,,,,,,,,
154,Vaxxed 2 Viewing,https://www.facebook.com/groups/260564468429135/,Active,,,,,,,,
155,The Mark of the Beast (666),https://www.facebook.com/groups/1254363354767920/,Active,,,,,,,,
156,VACCINE INJURY STORIES,https://www.facebook.com/groups/484062988360732/,Active,,,,,,,,
157,coronavirus vaccine!! over our dead bodies,https://www.facebook.com/groups/1232258140447149/,Active,,,,,,,,
158,Once We were an Eagle,https://www.facebook.com/groups/594880434552025/,Active,,,,,,,,
159,"Stop Mandatory Lockdown, Testing, Tracking and Vaccination! 2020 / 2021 !",https://www.facebook.com/groups/562068744405446/,Active,,,,,,,,
160,Vaccine Choice Prayer Community,https://www.facebook.com/groups/1439034716360399/,Active,,,,,,,,
